source,target,score_1,score_2,editor_1,editor_2,aligner,agreement,final_score
благоразумнее,умнее,2,2,E2,E3,e&a,1,2
взобрался,поднялся,2,2,E2,E3,e&a,1,2
возопил,крикнул,1,2,E2,E3,e&a,0,2
врозь,отдельно,2,2,E2,E3,e&a,1,2
сообразить,понять,2,2,E2,E3,e&a,1,2
взвизгивает,вскрикивает,2,2,E2,E3,e&a,1,2
ассигнаций,деньги,0,2,E2,E3,e,0,2
застала,увидела,2,2,E2,E3,e&a,1,2
покидают,бросают,2,2,E2,E3,e&a,1,2
болтала,говорила,2,2,E2,E3,e&a,1,2
года,лет,2,2,E2,E3,e&a,1,2
воли,желания,2,2,E2,E3,e&a,1,2
нежели,чем,0,2,E2,E3,e&a,0,2
Случались,Бывали,2,2,E2,E3,e&a,1,2
поприще,место,2,1,E2,E3,e&a,0,2
думы,мысли,2,2,E2,E3,e&a,1,2
состраданием,жалостью,2,1,E2,E3,e&a,0,2
достигла,получилось,2,2,E2,E3,e&a,1,2
догадается,поймёт,2,2,E2,E3,e&a,1,2
человечество,люди,2,2,E2,E3,e&a,1,2
независимость,свободу,1,2,E2,E3,e&a,0,2
рванулась,подбежала,2,2,E2,E3,e&a,1,2
фортепьянах,рояле,0,2,E2,E3,e&a,0,2
запру,закрою,2,2,E2,E3,e&a,1,2
явился,пришёл,0,2,E2,E3,e&a,0,2
Коли,Если,0,2,E2,E3,e&a,0,2
притворства,неискренности,2,2,E2,E3,e&a,1,2
погляжу,посмотрю,2,2,E2,E3,e&a,1,2
позволил,разрешил,2,2,E2,E3,e&a,1,2
смотря,глядя,2,2,E2,E3,e&a,1,2
разумом,умом,0,2,E2,E3,e&a,0,2
всхлипывая,плача,2,2,E2,E3,e&a,1,2
подле,около,2,1,E2,E3,e&a,0,2
смеет,может,0,2,E2,E3,e&a,0,2
опытностию,опытностью,0,2,E2,E3,e&a,0,2
отворенной,открытой,0,2,E2,E3,e&a,0,2
изящные,красивые,0,2,E2,E3,e&a,0,2
карете,экипаже,0,2,E2,E3,e&a,0,2
позволите,Разрешите,2,2,E2,E3,e&a,1,2
украдкой,незаметно,0,2,E2,E3,e&a,0,2
предрек,сказал,2,2,E2,E3,e&a,1,2
зарезать,убить,1,2,E2,E3,e&a,0,2
недоумении,удивлением,2,2,E2,E3,e&a,1,2
драгоценный,дорогой,0,2,E2,E3,e&a,0,2
начальство,начальник,2,1,E2,E3,e&a,0,2
обозвала,назвала,1,2,E2,E3,e&a,0,2
препочтеннейший,прелюбезнейший,0,2,E2,E3,e&a,0,2
отрекаюсь,отказываюсь,1,2,E2,E3,e&a,0,2
беспрепятственно,легко,0,2,E2,E3,e&a,0,2
утаивал,скрывал,0,2,E2,E3,e&a,0,2
давеча,вчера,1,2,E2,E3,e&a,0,2
говорил,сказал,2,2,E2,E3,e&a,1,2
отстранилась,отошла,2,1,E2,E3,e&a,0,2
внезапно,Вдруг,2,2,E2,E3,e,1,2
сходно,похоже,0,2,E2,E3,e&a,0,2
дилижанс,карете,2,1,E2,E3,e&a,0,2
Вмиг,Сразу,0,2,E2,E3,e&a,0,2
приблизился,подошёл,2,2,E2,E3,e&a,1,2
ужаснула,испугала,2,2,E2,E3,e&a,1,2
сталкивался,встречался,2,2,E2,E3,e&a,1,2
пробормотал,сказал,2,2,E2,E3,e&a,1,2
заглядывались,засматривались,2,2,E2,E3,e&a,1,2
помешанные,сумасшедшие,0,2,E2,E3,e&a,0,2
обворожительный,прекрасный,2,2,E2,E3,e&a,1,2
тужу,грущу,0,2,E2,E3,e&a,0,2
пристальные,внимательные,0,2,E2,E3,e&a,0,2
твердил,повторял,2,0,E2,E3,e&a,0,2
Всяко,Всякое,2,0,E2,E3,e&a,0,2
условились,договорились,2,2,E2,E3,e&a,1,2
отправиться,ехать,2,0,E2,E3,e&a,0,2
бранил,ругал,2,2,E2,E3,e&a,1,2
воображаемому,придуманному,0,2,E2,E3,e&a,0,2
вскричала,воскликнула,0,2,E2,E3,e&a,0,2
долее,дольше,2,0,E2,E3,e&a,0,2
повидаться,увидеться,0,2,E2,E3,e&a,0,2
желаю,хочу,0,2,E2,E3,e&a,0,2
поглядывали,посматривали,2,2,E2,E3,e&a,1,2
забавы,развлечения,2,2,E2,E3,e&a,1,2
пожалуста,пожалуйста,2,0,E2,E3,e&a,0,2
доложить,сказать,1,2,E2,E3,e&a,0,2
молю,прошу,2,2,E2,E3,e,1,2
догадывался,понимал,2,2,E2,E3,e&a,1,2
следила,наблюдала,2,2,E2,E3,e&a,1,2
жалкий,презренный,0,2,E2,E3,e&a,0,2
бранились,ссорились,0,2,E2,E3,e&a,0,2
пустяки,глупости,2,2,E2,E3,e&a,1,2
отворилась,открылась,2,2,E2,E3,e&a,1,2
воскликнул,крикнул,1,2,E2,E3,e&a,0,2
шикарный,прекрасную,2,2,E2,E3,e&a,1,2
позволю,разрешу,0,2,E2,E3,e&a,0,2
Очевидно,понятно,2,2,E2,E3,e,1,2
дерзновенно,мужественно,2,2,E15,E16,a,1,2
покоилась,лежала,2,1,E15,E16,a,0,2
робость,смущение,2,2,E15,E16,a,1,2
переносливое,терпеливое,2,1,E15,E16,a,0,2
совершенно,очень,2,2,E15,E16,a,1,2
починили,отремонтировали,2,2,E15,E16,a,1,2
губительна,опасна,2,1,E15,E16,a,0,2
мамашиной,матери,1,2,E15,E16,a,0,2
сюртуке,пальто,2,1,E15,E16,a,0,2
чорт,чёрт,2,2,E15,E16,a,1,2
Вздумал,Решил,2,1,E15,E16,a,0,2
зарыдал,плакать,2,2,E15,E16,a,1,2
али,или,0,2,E15,E16,a,0,2
неловко,смущённо,2,2,E15,E16,a,1,2
приятель,знакомый,2,2,E15,E16,a,1,2
карета,экипаж,1,2,E15,E16,a,0,2
неожиданно,вдруг,2,2,E15,E16,a,1,2
приятельница,знакомая,2,1,E15,E16,a,0,2
нынешняя,сегодняшняя,2,1,E15,E16,a,0,2
противоестественной,странной,2,1,E15,E16,a,0,2
дрожки,карета,2,2,E15,E16,a,1,2
узенькая,узкая,2,1,E15,E16,a,0,2
занемог,заболел,2,2,E15,E16,a,1,2
известить,сказать,2,1,E15,E16,a,0,2
особливое,отдельное,2,2,E15,E16,a,1,2
почтенная,уважаемый,2,2,E15,E16,a,1,2
неизменно,всегда,2,1,E15,E16,a,0,2
низменное,низкое,1,2,E15,E16,a,0,2
успение,смерть,2,2,E15,E16,a,1,2
развратной,безнравственную,2,2,E15,E16,a,1,2
лакеев,слуг,2,1,E15,E16,a,0,2
прелестной,прекрасной,2,2,E15,E16,a,1,2
пятак,монету,2,1,E15,E16,a,0,2
везир,визирь,2,0,E15,E16,a,0,2
нумер,номер,2,1,E15,E16,a,0,2
мсье,господин,2,2,E15,E16,a,1,2
левретка,собачка,2,0,E15,E16,a,0,2
штудент,студент,2,1,E15,E16,a,0,2
симпатичное,красивое,2,2,E15,E16,a,1,2
болтала,разговаривала,2,2,E15,E16,a,1,2
приятелей,знакомого,2,2,E15,E16,a,1,2
подкатилась,подъехала,1,2,E15,E16,a,0,2
помышляет,думает,1,2,E15,E16,a,0,2
уголовных,криминальных,2,2,E15,E16,a,1,2
существо,тварь,2,2,E15,E16,a,1,2
ощущал,чувствовал,2,2,E15,E16,a,1,2
шашки,сабель,2,2,E15,E16,a,1,2
усмотрела,увидел,1,2,E15,E16,a,0,2
корреспондентом,журналистом,2,2,E15,E16,a,1,2
припоминаете,Помните,2,1,E17,E18,a,0,2
каштановые,тёмные,2,1,E17,E18,a,0,2
торопливо,быстро,2,2,E17,E18,a,1,2
дряхлая,старой,2,0,E17,E18,a,0,2
скроила,сшила,2,2,E17,E18,a,1,2
неблагородно,плохо,2,1,E17,E18,a,0,2
великолепных,прекрасных,2,2,E17,E18,a,1,2
будущности,будущем,2,1,E17,E18,a,0,2
опасаясь,боялся,2,1,E17,E18,a,0,2
обезумевший,сумасшедший,2,2,E17,E18,a,1,2
пузатый,толстым,2,0,E17,E18,a,0,2
горничных,служанкам,2,0,E17,E18,a,0,2
погибло,умерло,2,2,E17,E18,a,1,2
развернул,открыл,2,2,E17,E18,a,1,2
конфузилась,стеснялась,2,2,E17,E18,a,1,2
швырнул,бросил,2,2,E17,E18,a,1,2
Засадят,посадят,2,2,E17,E18,a,1,2
зверства,жестокостях,2,2,E17,E18,a,1,2
увещаниям,уговорам,2,2,E17,E18,a,1,2
отсылать,возвращать,2,2,E17,E18,a,1,2
подразумевали,думают,2,2,E17,E18,a,1,2
отпарировала,ответила,1,2,E17,E18,a,0,2
усопшей,покойной,2,2,E17,E18,a,1,2
чахоточная,больная,1,2,E17,E18,a,0,2
сострадание,жалость,2,2,E17,E18,a,1,2
полагали,считали,2,2,E17,E18,a,1,2
хихикали,смеялись,2,2,E17,E18,a,1,2
счастливейшими,счастливыми,2,0,E17,E18,a,0,2
dame,Дама,2,0,E17,E18,a,0,2
нравственным,моральное,2,2,E17,E18,a,1,2
отчаяние,безнадёжность,1,2,E17,E18,a,0,2
тревожили,волновало,2,2,E17,E18,a,1,2
благодушным,доброго,1,2,E17,E18,a,0,2
жалованья,денег,2,2,E17,E18,a,1,2
рассеянно,невнимательно,2,2,E17,E18,a,1,2
рассуждал,говорил,2,2,E17,E18,a,1,2
Полюбится,понравится,2,0,E17,E18,a,0,2
слились,соединились,0,2,E17,E18,a,0,2
деревеньки,деревни,2,1,E17,E18,a,0,2
заявил,сказал,2,2,E17,E18,a,1,2
противны,неприятны,2,2,E17,E18,a,1,2
швейцару,слуге,2,1,E17,E18,a,0,2
рубашонку,рубашку,2,0,E17,E18,a,0,2
горячка,жар,2,1,E17,E18,a,0,2
гардину,занавеску,2,0,E17,E18,a,0,2
Охраняете,Защищаете,2,2,E17,E18,a,1,2
Барыни,Дамы,2,0,E17,E18,a,0,2
штанах,брюках,2,2,E17,E18,a,1,2
вспомнить,напомнил,2,2,E17,E18,a,1,2
Немного,несколько,2,2,E17,E18,a,1,2
спешно,быстро,2,1,E4,E5,e&a,0,2
выговорил,сказал,2,2,E4,E5,e&a,1,2
покаместь,пока,2,1,E4,E5,e&a,0,2
гоняться,бегать,2,1,E4,E5,e&a,0,2
сыплются,падают,2,1,E4,E5,e&a,0,2
пожаловал,пришёл,2,1,E4,E5,e&a,0,2
контракте,договоре,2,2,E4,E5,e&a,1,2
Камердинер,слуга,2,0,E4,E5,e&a,0,2
поселилась,живёт,2,1,E4,E5,e&a,0,2
умоляю,Прошу,2,1,E4,E5,e&a,0,2
ихней,их,2,2,E4,E5,e&a,1,2
говорила,сказала,2,2,E4,E5,e&a,1,2
всею,всей,2,2,E4,E5,e&a,1,2
ломоть,кусок,2,1,E4,E5,e&a,0,2
барьер,препятствие,2,1,E4,E5,e&a,0,2
повидать,увидеть,2,1,E4,E5,e&a,0,2
произнес,сказал,2,1,E4,E5,e&a,0,2
Пред,Перед,2,2,E4,E5,e&a,1,2
коляске,экипаже,0,2,E4,E5,e&a,0,2
помер,умер,2,1,E4,E5,e&a,0,2
бестолковые,глупые,2,1,E4,E5,e&a,0,2
сватать,женить,2,1,E4,E5,e&a,0,2
непреодолимое,сильное,1,2,E4,E5,e&a,0,2
устраивал,организовывал,2,2,E4,E5,e&a,1,2
доброю,доброй,0,2,E4,E5,e&a,0,2
почтителен,уважителен,2,2,E4,E5,e&a,1,2
стремление,желание,1,2,E4,E5,e&a,0,2
пристален,внимательным,2,0,E4,E5,e&a,0,2
амбара,сарая,2,1,E4,E5,e&a,0,2
Разумеется,Конечно,2,2,E4,E5,e&a,1,2
отчего,почему,2,1,E4,E5,e&a,0,2
порою,иногда,2,1,E4,E5,e,0,2
содействовать,помочь,2,1,E4,E5,e&a,0,2
шифоньеркой,шкафом,2,1,E4,E5,e&a,0,2
бывало,было,2,2,E4,E5,e&a,1,2
глядела,смотрела,2,1,E4,E5,e&a,0,2
позвольте,разрешите,2,1,E4,E5,e&a,0,2
очаровательной,прекрасной,2,2,E4,E5,e&a,1,2
соображал,думал,2,1,E4,E5,e&a,0,2
шагает,идёт,2,1,E4,E5,e&a,0,2
разболтал,рассказал,2,0,E4,E5,e&a,0,2
участь,судьбу,2,1,E4,E5,e&a,0,2
изволите,хотите,2,1,E4,E5,e&a,0,2
расстроен,грустен,2,1,E4,E5,e&a,0,2
вздор,глупости,2,1,E4,E5,e&a,0,2
супругу,мужу,2,1,E4,E5,e&a,0,2
Непременно,Обязательно,2,0,E4,E5,e&a,0,2
зажмурил,закрыл,2,1,E4,E5,e&a,0,2
мысль,идею,2,2,E4,E5,e&a,1,2
рассуждаете,говорите,2,1,E4,E5,e&a,0,2
башмаков,ботинок,2,1,E4,E5,e&a,0,2
вчерась,вчера,2,2,E4,E5,e&a,1,2
семействе,семье,1,2,E4,E5,e&a,0,2
крошечное,маленькое,2,1,E4,E5,e&a,0,2
досадный,неприятный,2,1,E4,E5,e&a,0,2
унизительное,оскорбительное,2,1,E4,E5,e&a,0,2
произнесла,сказала,2,1,E4,E5,e&a,0,2
умолять,просить,2,1,E4,E5,e,0,2
огромная,большая,2,1,E4,E5,e&a,0,2
Разумом,Умом,2,1,E4,E5,e&a,0,2
беседовать,разговаривать,2,1,E4,E5,e&a,0,2
сказывал,говорил,2,1,E4,E5,e&a,0,2
чадо,ребёнка,2,1,E4,E5,e&a,0,2
тайною,тайной,0,2,E4,E5,e&a,0,2
повидаться,встретиться,2,1,E4,E5,e&a,0,2
Превосходно,прекрасно,2,1,E4,E5,e&a,0,2
навечно,навсегда,0,2,E4,E5,e&a,0,2
чрез,Через,2,2,E4,E5,e,1,2
простою,простой,0,2,E4,E5,e&a,0,2
Камердинер,Слуга,2,0,E4,E5,e&a,0,2
Madame,Мадам,2,0,E4,E5,e,0,2
непрестанно,постоянно,2,2,E4,E5,e&a,1,2
отрекаются,отказываются,2,1,E4,E5,e&a,0,2
Неужто,Неужели,2,1,E4,E5,e&a,0,2
воротился,вернулся,2,2,E4,E5,e&a,1,2
сих,этих,2,1,E4,E5,e&a,0,2
чахотка,болезнь,2,1,E4,E5,e&a,0,2
раздражился,разозлился,2,1,E4,E5,e&a,0,2
мамаша,мама,2,0,E4,E5,e&a,0,2
народу,людей,2,1,E4,E5,e&a,0,2
разумная,умная,2,1,E4,E5,e&a,0,2
Погоди,Подожди,2,1,E4,E5,e&a,0,2
очутились,оказались,2,1,E4,E5,e&a,0,2
отвратительный,ужасный,2,1,E4,E5,e&a,0,2
услыхали,услышали,2,2,E4,E5,e&a,1,2
взором,взглядом,2,1,E4,E5,e&a,0,2
наслаждением,удовольствием,2,1,E4,E5,e&a,0,2
храбрые,смелые,2,1,E4,E5,e&a,0,2
солгал,обманул,2,0,E4,E5,e&a,0,2
бурный,сильный,2,0,E4,E5,e&a,0,2
прелестная,прекрасная,2,2,E4,E5,e&a,1,2
постиг,понял,2,1,E4,E5,e&a,0,2
счастие,счастье,2,2,E4,E5,e&a,1,2
попытаемся,попробуем,2,2,E4,E5,e&a,1,2
обворожительною,прекрасной,2,1,E4,E5,e&a,0,2
сухенькая,сухонькая,2,2,E4,E5,e&a,1,2
гроша,копейки,2,1,E4,E5,e&a,0,2
болтать,говорить,2,1,E4,E5,e,0,2
заторопилась,заспешила,0,2,E4,E5,e&a,0,2
корреспондент,журналист,2,1,E4,E5,e&a,0,2
пожелает,захочет,0,2,E4,E5,e&a,0,2
счастия,счастье,2,0,E4,E5,e&a,0,2
ветхий,старый,2,1,E4,E5,e&a,0,2
безобразным,ужасным,1,2,E6,E7,e&a,0,2
вздумала,решила,2,1,E6,E7,e&a,0,2
совещаясь,советуясь,2,2,E6,E7,e&a,1,2
сватаетесь,женитесь,0,2,E6,E7,e&a,0,2
закралось,появилось,2,1,E6,E7,e&a,0,2
испросить,попросить,2,1,E6,E7,e&a,0,2
особенною,особенной,0,2,E6,E7,e&a,0,2
навеки,навсегда,2,2,E6,E7,e&a,1,2
шаловлива,игрива,2,2,E6,E7,e,1,2
причиною,причина,0,2,E6,E7,e&a,0,2
книжки,книги,2,0,E6,E7,e&a,0,2
прочла,прочитала,2,0,E6,E7,e&a,0,2
Позвольте,Разрешите,2,2,E6,E7,e&a,1,2
восторг,радость,2,2,E6,E7,e&a,1,2
негодовала,злилась,2,2,E6,E7,e,1,2
кушанье,еда,2,2,E6,E7,e,1,2
холодною,холодной,0,2,E6,E7,e&a,0,2
зарыдала,заплакала,2,2,E6,E7,e&a,1,2
уяснить,понять,2,2,E6,E7,e&a,1,2
кучеру,извозчику,2,0,E6,E7,e&a,0,2
городок,город,2,0,E6,E7,e&a,0,2
глядел,смотрит,2,2,E6,E7,e&a,1,2
перестановленных,переставленных,2,0,E6,E7,e&a,0,2
отвращением,презрением,2,2,E6,E7,e&a,1,2
крылышку,крылья,2,0,E6,E7,e&a,0,2
печальная,грустная,2,2,E6,E7,e&a,1,2
неведомая,неизвестная,2,2,E6,E7,e&a,1,2
нуль,ноль,2,0,E6,E7,e&a,0,2
нищие,бедные,2,0,E6,E7,e,0,2
сумасшедшею,сумасшедшей,0,2,E6,E7,e&a,0,2
желаешь,хочешь,2,2,E6,E7,e&a,1,2
поспешно,быстро,2,2,E6,E7,e&a,1,2
сбиравшейся,собиравшейся,2,1,E6,E7,e&a,0,2
сживаться,уживаться,2,1,E6,E7,e&a,0,2
позволишь,разрешишь,2,2,E6,E7,e&a,1,2
грош,копейку,2,1,E6,E7,e&a,0,2
непременно,обязательно,2,2,E6,E7,e&a,1,2
смертельною,смертельно,0,2,E6,E7,e&a,0,2
поглядеть,посмотреть,2,2,E6,E7,e&a,1,2
взвизгнул,крикнул,1,2,E6,E7,e&a,0,2
предо,передо,2,0,E6,E7,e&a,0,2
досадуйте,сердитесь,2,0,E6,E7,e&a,0,2
галстух,галстук,2,2,E6,E7,e&a,1,2
записочки,записки,2,0,E6,E7,e&a,0,2
вечно,всегда,2,2,E6,E7,e&a,1,2
вероятно,возможно,1,2,E6,E7,e&a,0,2
имение,поместье,2,2,E6,E7,e&a,1,2
совестно,стыдно,2,2,E6,E7,e&a,1,2
газетину,газету,2,1,E6,E7,e&a,0,2
нервничаю,волнуюсь,2,2,E6,E7,e&a,1,2
говея,постясь,2,0,E6,E7,e&a,0,2
миг,момент,2,2,E6,E7,e&a,1,2
которою,которой,0,2,E6,E7,e&a,0,2
потребностях,нуждах,2,2,E6,E7,e&a,1,2
возвратила,вернула,2,2,E6,E7,e&a,1,2
разыскали,нашли,2,2,E6,E7,e&a,1,2
переменился,изменился,2,2,E6,E7,e&a,1,2
свидания,встречи,1,2,E6,E7,e&a,0,2
устраивала,организовала,1,2,E6,E7,e&a,0,2
враждебность,агрессию,2,0,E6,E7,e&a,0,2
доделали,Закончили,2,2,E6,E7,e&a,1,2
Григорьем,Григорием,2,2,E6,E7,e&a,1,2
бродил,ходил,1,2,E6,E7,e&a,0,2
ухватил,схватил,2,1,E6,E7,e&a,0,2
личиком,лицом,2,0,E6,E7,e&a,0,2
невозмутимо,спокойно,2,0,E6,E7,e&a,0,2
агентов,шпионов,2,2,E6,E7,e&a,1,2
положь,положи,2,0,E6,E7,e&a,0,2
частенько,часто,2,0,E6,E7,e&a,0,2
нынешний,сегодняшний,2,2,E6,E7,e&a,1,2
отворил,открыл,2,1,E6,E7,e&a,0,2
тут,здесь,2,2,E6,E7,e&a,1,2
дурные,плохое,2,2,E6,E7,e&a,1,2
промолвил,сказал,2,2,E6,E7,e&a,1,2
живали,жили,2,1,E6,E7,e&a,0,2
записку,записочку,2,0,E6,E7,e&a,0,2
гаркнул,воскликнул,1,2,E6,E7,e&a,0,2
привлекательности,красоты,2,1,E6,E7,e&a,0,2
пред,перед,2,1,E6,E7,e&a,0,2
алмазов,бриллиантов,2,2,E6,E7,e&a,1,2
немедленно,сразу,2,2,E6,E7,e&a,1,2
присутствовать,находиться,2,2,E6,E7,e&a,1,2
глядеть,смотрела,2,0,E6,E7,e&a,0,2
участницею,участницей,0,2,E6,E7,e&a,0,2
пробовала,пыталась,2,2,E6,E7,e&a,1,2
пожилых,немолодых,1,2,E6,E7,e&a,0,2
туманною,туманной,0,2,E6,E7,e&a,0,2
возникла,появилась,2,2,E6,E7,e&a,1,2
депешу,письмо,0,2,E6,E7,e,0,2
мал,маленький,2,1,E6,E7,e&a,0,2
глядите,смотрите,2,2,E6,E7,e&a,1,2
расстояние,дистанцию,2,2,E6,E7,e&a,1,2
покамест,Пока,2,2,E6,E7,e&a,1,2
вуалем,вуалью,2,0,E6,E7,e&a,0,2
обещались,обещали,2,0,E6,E7,e&a,0,2
алкала,хотела,2,0,E6,E7,e&a,0,2
мечтою,мечтой,0,2,E6,E7,e&a,0,2
прославленного,знаменитого,2,0,E6,E7,e&a,0,2
утвердилась,укрепилась,2,2,E6,E7,e&a,1,2
