source,target,score_1,score_2,editor_1,editor_2,partition,agreement,score_3,source_pos,target_pos,source_lemma,target_lemma,source_sentence,target_sentence,source_cefr,target_cefr,source_ipm,target_ipm,target_sentence_level,target_level_comparison
злиться,сердиться,2,2,E10,E11,a,1,2,VERB,VERB,злиться,сердиться,Варя начала злиться,Варя сердиться на него не могла. ,b2,b2,14.9,22,b1,Word level higher than target CEFR
скрыпит,скрипит,2,0,E10,E11,a,0,2,VERB,VERB,скрыпеть,скрипеть,"Как хороши, как свежи были розы. А в комнате всё темней да темней. Нагоревшая свеча трещит, беглые тени колеблются на низком потолке, мороз скрыпит и злится за стеною — и чудится скучный, старческий шёпот. Как хороши, как свежи были розы. Встают передо мною другие образы. Слышится веселый шум семейной деревенской жизни. ","Свеча трещит, тени колеблются на низком потолке, мороз скрипит за стеною — и чудится скучный, старческий шёпот. ",,c1,,13.8,b1_c1,Word level in target CEFR range
умоляем,просим,2,1,E10,E11,a,0,2,VERB,VERB,умолять,просить,"Но я, мы все родные, все любящие ее просим, умоляем тебя. ","Но я, мы все родные, просим тебя помочь ей. ",b2,a1,18.7,215.9,b1,Word level lower than target CEFR
насурмлена,накрашена,2,2,E10,E11,a,1,2,VERB,VERB,насурмить,накрасить,"Лиза, его смуглая Лиза, набелена была по уши, насурмлена пуще самой мисс Жаксон; фальшивые локоны, гораздо светлее собственных ее волос, взбиты были, как парик Людовика XIV; рукава l ' imbecile талия была перетянута, как буква икс, и все бриллианты ее матери, еще не заложенные в ломбарде, сияли на ее пальцах, шее и ушах. ","Все встали; отец начал было знакомить Берестовых с Лизой, но вдруг остановился. Лиза, его смуглая Лиза, накрашена была по уши; её причёска была как парик Людовика XIV1, все бриллианты её матери сияли на её пальцах, шее и ушах. ",,,,4.1,a2,No word level
корчмы,трактира,2,1,E10,E11,a,0,2,NOUN,NOUN,корчма,трактира,"Варя хотела выбежать на дорогу, но тут из корчмы выскочил хозяин, в красной рубахе, с багровым носом, с бородавками на щеке, сердито закричал, показал: сначала плати, потом уходи. ","Она уже хотела убежать, но пришёл хозяин трактира и закричал злым голосом: «Сначала плати, а потом уходи!» ",,,0.7,,b1,No word level
суровой,жестокую,2,0,E10,E11,a,0,2,ADJ,ADJ,суровый,жестокий,"Германн смотрел на неё молча: сердце его также терзалось, но ни слёзы бедной девушки, ни удивительная прелесть её горести не тревожили суровой души его. ","Германн смотрел на неё молча: сердце его так же сильно билось, но горе бедной девушки не волновало его жестокую душу. ",c1,b1,36.6,37.5,b1,Word level equal to target CEFR
малютка,ребёнок,2,1,E10,E11,a,0,2,NOUN,NOUN,малютка,ребёнок,"Что же вы ответите ему, когда невинный малютка спросит у вас: «Папаша! ","Что же вы ответите ему, когда ребёнок спросит у вас: «Папа! ",,,3.2,,b1,No word level
притворил,закрыл,2,0,E10,E11,a,0,2,VERB,VERB,притворить,закрыть,Камышев заглянул за дверь и плотнее притворил ее. ,"— Камышев встал, посмотрел, что за дверью, потом плотно её закрыл. — Вы чего - то боитесь? ",,,1.3,97.9,b1,No word level
покорную,послушную,2,2,E10,E11,a,1,2,ADJ,ADJ,покорный,послушный,"Она вспоминала его слова, выражение лица его, напоминающее покорную легавую собаку, в первое время их связи. ","Она вспоминала его слова, выра жение лица его, напоминающее послушную собаку, в пер вое время их знакомства. ",c1,b2,8.3,9.1,b1,Word level higher than target CEFR
выкинут,выбросили,2,0,E10,E11,a,0,2,VERB,VERB,выкинуть,выбросить,"Я, натурально, заявил протест, нанес некоторый ущерб корабельному имуществу и в Константинополе был выкинут. то есть, я хочу сказать, высажен на берег — без денег, без вещей и даже без шляпы. ","Рассердился так, что меня выбросили с корабля в Константинополе без денег, без вещей и даже без шляпы. ",,,15.2,32.4,b1,No word level
непостоянна,легкомысленна,2,1,E10,E11,a,0,2,ADJ,ADJ,непостоянный,легкомысленный,"— Вот что, — начала она слабым и дрожащим голосом, но в котором вдруг зазвенело что - то такое, что вонзилось мне прямо в сердце и сладко заныло в нем, — не думайте, что я так непостоянна и ветрена, не думайте, что я могу так легко и скоро позабыть и изменить. "," — Вот что, — начала она слабым и дрожащим голосом, — не думайте, что я так легкомысленна, не думайте, что я могу так легко и скоро позабыть и изменить. ",c1,b2,1.6,8.6,b1,Word level higher than target CEFR
позволяете,разрешаете,2,0,E10,E11,a,0,2,VERB,VERB,позволять,разрешать,"Скажите мне, моя дорогая, зачем вы позволяете этому пигмею графу приближаться к вам? ","Скажите мне, моя дорогая, почему вы разрешаете графу приближаться к вам? ",b2,b1,194.3,22.2,b1,Word level equal to target CEFR
лавочки,скамейки,2,1,E10,E11,a,0,2,NOUN,NOUN,лавочка,скамейка,"– сказала она, когда они добрались, наконец, до уединенной лавочки на углу липовой аллеи","— сказала она, когда они дошли, наконец, до уединённой скамейки",c1,b2,12.7,29,b1,Word level higher than target CEFR
явиться,пришёл,2,0,E10,E11,a,0,2,VERB,VERB,явиться,прийти,Что могло заставить его изменить своим правилам и явиться ко мне в два часа ночи да вдобавок еще в такую ужасную погоду?,"Он никогда не нарушал правила, а сейчас пришёл в 2 часа ночи, да ещё в такую ужасную погоду",,,79.8,523.3,b1,No word level
прекрасною,прекрасной,2,0,E10,E11,a,0,2,ADJ,ADJ,прекрасный,прекрасный,Никогда дочь его не казалась ему столь прекрасною; он по неволе ею любовался. ,Никогда дочь его не казалась ему такой прекрасной. ,a2,a2,148.4,148.4,a2,Word level equal to target CEFR
оробела,испугалась,2,2,E10,E11,a,1,2,VERB,VERB,оробеть,испугаться,"Моя Настенька так оробела, так перепугалась, что, кажется, поняла, наконец, что я люблю ее, и сжалилась над моей бедной любовью. ","Моя Настенька так испугалась, что, кажется, поняла наконец, что я люблю её, и ей стало жалко меня. ",,b2,2.1,47.8,b1,Word level higher than target CEFR
полезною,полезной,2,0,E10,E11,a,0,2,ADJ,ADJ,полезный,полезный,"– Ты знаешь, Алексей, – сказала она, выслушав его, – как я люблю тебя и как готова все для тебя сделать, но я молчала, потому что знала, что не могу тебе и Анне Аркадьевне быть полезною, – сказала она, особенно старательно выговорив «Анна Аркадьевна». – Не думай, пожалуйста, чтобы я осуждала. ","— Ты знаешь, Алексей, — сказала она, — как я люблю тебя и как готова всё для тебя сделать, но я молчала, потому что знала, что не могу тебе и Анне Аркадьевне быть полезной. ",a2,a2,75.2,75.2,b1,Word level lower than target CEFR
жестоких,злых,1,2,E10,E11,a,0,2,ADJ,ADJ,жестокий,злой,"– вскрикнула она, с ужасом вглядываясь в явное выражение ненависти, которое было во всем лице и в особенности в жестоких, грозных глазах","— спросила она, с ужасом вглядываясь в выражение ненависти, которое было во всём его лице и в особенности в злых глазах",b1,a2,37.5,61.5,b1,Word level lower than target CEFR
чудовищных,ужасных,2,2,E10,E11,a,1,2,ADJ,ADJ,чудовищный,ужасный,Бюрократия развилась до размеров чудовищных. ,Бюрократия развилась до ужасных размеров. ,c1,b1,22.3,47.9,b1_c1,Word level in target CEFR range
озираться,оглядываться,2,2,E10,E11,a,1,2,VERB,VERB,озираться,оглядываться,Но минуту спустя он вдруг быстро и беспокойно стал озираться кругом; это первое видение могло быть предвестником и предшественником второго видения. ,Через минуту он беспокойно стал оглядываться кругом. ,,b2,10.1,31.2,b1,Word level higher than target CEFR
потешались,смеялись,2,0,E10,E11,a,0,2,VERB,VERB,потешаться,смеяться,"Должно быть, вы здорово потешались над нами, господин шпион.","Господин шпион, вы, наверное, сильно смеялись тогда над нами? ",,a2,2.2,117.9,b1,Word level lower than target CEFR
помощию,помощью,2,2,E12,E13,a,1,2,NOUN,NOUN,помощий,помощь,"Убей ее и возьми ее деньги, с тем чтобы с их помощию посвятить потом себя на служение всему человечеству и общему делу: как ты думаешь, не загладится ли одно, крошечное преступленьице тысячами добрых дел? ","Убей её и возьми её деньги, с тем чтобы с их помощью служить человечеству и общему делу: как ты думаешь? ",,a2,,300.1,b1_c1,Word level lower than target CEFR range
привлекательною,красивой,2,2,E12,E13,a,1,2,ADJ,ADJ,привлекательный,красивый,"И внутренний голос говорил ему, что ходить не надобно, что кроме фальши тут ничего быть не может, что поправить, починить их отношения невозможно, потому что невозможно сделать ее опять привлекательною и возбуждающею любовь или его сделать стариком, неспособным любить. ","Внутренний голос говорил ему, что ходить не надо, что изменить их отношения невозможно, потому что невозможно сделать её опять молодой и красивой или его сделать стариком, не способным любить. ",b2,a1,23.1,177.2,b1,Word level lower than target CEFR
ошеломленный,испуганный,2,1,E12,E13,a,0,2,VERB,ADJ,ошеломить,испуганный, - бормотал ошеломленный Гаврила Ардалионович. ,— спросил испуганный Гаврила Ардалионович. — Н - нет. я. н - нет. — Аглая холодно смотрела на него,,c1,8.1,11.1,b1,Word level higher than target CEFR
нечувствительности,равнодушия,2,2,E12,E13,a,1,2,NOUN,NOUN,нечувствительность,равнодушие,"Барышни поглядывали на него, а иные и заглядывались; но Алексей мало ими занимался, а они причиной его нечувствительности полагали любовную связь. ","Барышни посматривали на него, а некоторые и засматривались; но Алексей мало ими занимался, а они считали причиной его равнодушия любовь к другой.",,c1,,12.2,a2,Word level higher than target CEFR
сновидение,сон,2,1,E12,E13,a,0,2,NOUN,NOUN,сновидение,сон,"Но это сновидение, как кошмар, давило ее, и она просыпалась с ужасом.","Но этот страшный сон мучил её, и она просыпалась с ужасом. ",,b1,6,152.7,b1,Word level equal to target CEFR
сведениям,информация,2,1,E12,E13,a,0,2,NOUN,NOUN,сведение,информация,"Стоило мне первый раз увидеть вашу подпись в «Ревю паризьен» — dHevrais, и я сразу вспомнил, что наш главный оппонент Анвар - эфенди, по некоторым сведениям, родился в боснийском городке Хевраис. ","Я сразу вспомнил, что есть информация о том, что Анвар родился в Боснии, в городке Хевраис. ",c1,b1,92.5,269.2,b1,Word level equal to target CEFR
затеял,организовать,2,0,E12,E13,a,0,2,VERB,VERB,затеять,организовывать,"— С позволения вашего величества, — поднял сморщенный палец канцлер. — Если Маклафлин затеял столь ответственную диверсию, зачем ему понадобилось извещать о своем намерении сию девицу? ","— Извините, — Корчаков поднял палец, — если Маклафлин решил организовать такую диверсию, то зачем он об этом рассказал этой девице? ",,a2,13.4,20.3,b1,Word level lower than target CEFR
сказать,говорить,2,1,E12,E13,a,0,2,VERB,VERB,сказать,говорить,"В этот вечер она была так хороша, что я, пьяный, забыл всё на свете и сжал ее в своих объятиях. Она стала клясться мне, что никого никогда не любила, кроме меня. и это было справедливо: она любила меня. И, в самый разгар клятв, ей вздумалось вдруг сказать отвратительную фразу: «Как я несчастна! ","Она стала мне говорить, что никогда и никого не любила, кроме меня. ",a1,a1,2396.6,1755,b1,Word level lower than target CEFR
покосился,посмотрел,2,1,E12,E13,a,0,2,VERB,VERB,покоситься,смотреть,Адъютант с сомнением покосился на Варю,Адъютант посмотрел на Варю,,a1,13.9,667.2,b1,Word level lower than target CEFR
прекратить,закончить,2,2,E12,E13,a,1,2,VERB,VERB,прекратить,закончить,"Но она слишком была проста и невинна, чтоб уметь прекратить этот разговор, и даже для того, чтобы скрыть то внешнее удовольствие, которое доставляло ей очевидное внимание этого молодого человека. ","Но она не могла ни закончить этот разговор, ни даже скрыть внешнее удовольствие от внимания этого молодого человека",,,43.4,89.2,b1,No word level
раздора,ссор,0,2,E12,E13,a,0,2,NOUN,NOUN,раздор,ссора,"Многие семьи по годам остаются на старых местах, постылых обоим супругам, только потому, что нет ни полного раздора, ни согласия.","Многие семьи с годами остаются на старых местах, надоев ших обоим супругам, только потому, что нет ни ссор, ни согласия. ",,b2,2.8,13.8,b1,Word level higher than target CEFR
кобылу,лошадь,2,2,E12,E13,a,1,2,NOUN,NOUN,кобыла,лошадь,"Вронский записался на скачки, купил английскую кровную кобылу и, несмотря на свою любовь, был страстно хотя и сдержанно, увлечен предстоящими скачками.","Вронский записался на скачки, купил английскую лошадь и, несмотря на свою любовь, был очень увлечён подготовкой к скачкам. В день скачек Вронский думал о том, что Анна обещала ему встретиться после скачек. ",,b1,5.8,80.9,b1,Word level equal to target CEFR
разъяснило,объяснил,2,1,E12,E13,a,0,2,VERB,VERB,разъяснить,объяснить,"— Это по - французски gendarme, а по - румынски пишется jandarm, — снисходительно разъяснило высокое начальство. — Казанзаки — вот кто дергал румынского полковника за ниточки. ","— Это по - французски «gendarme», a по - румынски пишется «jandarm», — с улыбкой объяснил начальник. — Скажите, кто поехал за Зуровым, от которого зависела судьба штурма и, возможно, всей войны? ",,,9.5,161.4,b1,No word level
преполезнейшее,полезное,2,1,E12,E13,a,0,2,ADJ,ADJ,преполезный,полезный,"Я стал о них расспрашивать, потому что прежде их не видывал, и тотчас же сам убедился, что это преполезнейшее животное, рабочее, сильное, терпеливое, дешевое, переносливое; и чрез этого осла мне вдруг вся Швейцария стала нравиться, так что совершенно прошла прежняя грусть","Я стал о них расспрашивать и тотчас же сам убедился, что это очень полезное животное, сильное, терпеливое; и мне вдруг вся Швейцария стала нравиться, так что совсем прошла прежняя грусть",,a2,,75.2,b1,Word level lower than target CEFR
шансонетку,песенку,2,2,E12,E13,a,1,2,NOUN,NOUN,шансонетка,песенка,"Однако это, похоже, его не печалило, он частенько поглядывал на Варю, беззаботно улыбался и мелодично насвистывал модную шансонетку.","Он играл и часто смотрел на Варю, улыбался и насвистывал модную песенку. ",,c1,,15.7,b1,Word level higher than target CEFR
выявить,найти,2,0,E12,E13,a,0,2,VERB,VERB,выявить,найти,"Все время, пока армия осаждала Плевну, против нас действовал хитрый, жестокий враг, которого моя служба не сумела вовремя выявить. ","Мизинов начал с того, что когда армия готовилась к штурму Плевны, против неё действовал хитрый и жестокий враг, которого его люди не могли найти. ",,,43.8,424.1,b1,No word level
отворил,открывал,2,1,E12,E13,a,0,2,VERB,VERB,отворить,открывать,"Но только что въехав на широкий полукруглый двор и слезши с извозчика, он вступил на крыльцо и навстречу ему швейцар в перевязи беззвучно отворил дверь и поклонился; только что он увидал в швейцарской калоши и шубы членов, сообразивших, что менее труда снимать калоши внизу, чем вносить их наверх; только что он услыхал таинственный, предшествующий ему звонок и увидал, входя по отлогой ковровой лестнице, статую на площадке и в верхних дверях третьего, состарившегося знакомого швейцара в клубной ливрее, неторопливо и не медля отворявшего дверь и оглядывавшего гостя, – Левина охватило давнишнее впечатление клуба, впечатление отдыха, довольства и приличия","Входя по ковровой лестнице в клуб, он увидел в дверях состарившегося знакомого швейцара, который открывал ему дверь. ",,a1,5.6,85.7,b1,Word level lower than target CEFR
равнодушною,равнодушной,0,2,E12,E13,a,0,2,ADJ,ADJ,равнодушный,равнодушный,"Она никак не ожидала, чтоб у нее нашлась эта сила задержать где - то в глубине души все воспоминания прежнего чувства к Вронскому и не только казаться, но и быть к нему вполне равнодушною и спокойною.","Она никак не ожидала, чтобы у неё нашлась эта сила задержать где - то в глубине души все воспоминания прежнего чувства к Вронскому и не только казаться, но и быть к нему равнодушной и спокойной. ",b2,b2,20.4,20.4,b1,Word level higher than target CEFR
свояченицы,родственницы,1,2,E12,E13,a,0,2,NOUN,NOUN,свояченица,родственница,"все еще на Петербургской, в доме моей свояченицы проживает, как и писал я вам","Всё ещё на Петербургской, в доме моей родственницы. ",,b2,0.9,6.7,b1,Word level higher than target CEFR
утерла,вытерла,2,1,E12,E13,a,0,2,VERB,VERB,утереть,вытереть,"Она услыхала порывистый звонок Вронского и поспешно утерла эти слезы, и не только утерла слезы, но села к лампе и развернула книгу, притворившись спокойною. ","Она услышала громкий звонок Вронского и быстро вытерла слёзы, села к лампе и открыла книгу. ",,,2.8,16.8,b1,No word level
Подымается,поднимается,2,1,E12,E13,a,0,2,VERB,VERB,подымать,подниматься,"Подымается, опускается. ",Пол тоже поднимается и опускается. ,b1,b1,5.6,75.9,b1,Word level equal to target CEFR
затворился,уединился,2,2,E12,E13,a,1,2,VERB,VERB,затворить,уединиться,Князь ушел из гостиной и затворился в своей комнате. ,IX Князь уединился в своей комнате. ,,,1.4,2.5,b1,No word level
мамаше,матери,2,2,E12,E13,a,1,2,NOUN,NOUN,мамаша,мать,"Затем опять бросилась к мамаше и совсем уже спряталась лицом на ее груди, чтоб уж никто не видал, и тотчас опять заплакала. ",Затем опять бросилась к матери и опять заплакала. ,c1,a1,12.3,330.1,b1,Word level lower than target CEFR
соловьи,птицы,2,2,E12,E13,a,1,2,NOUN,VERB,соловь,петь,"В их большом каменном доме было просторно и летом прохладно, половина окон выходила в старый тенистый сад, где весной пели соловьи; когда в доме сидели гости, то в кухне стучали ножами, во дворе пахло жареным луком — и это всякий раз предвещало обильный и вкусный ужин.","В их большом каменном доме летом было прохладно, половина окон выходила в старый сад,где весной пели птицы. ",,a1,,143.2,b1,Word level lower than target CEFR
корчме,трактире,0,2,E12,E13,a,0,2,NOUN,NOUN,корчма,трактира,"И зачем только она согласилась сделать остановку в корчме, или как у них тут называется этот гнусный притон? ","«И зачем только я согласилась остановиться здесь, в этом трактире? ",,,0.7,,b1,No word level
ощетинился,разозлился,2,0,E12,E13,a,0,2,VERB,VERB,ощетиниться,разозлиться,"Хозяин хотел отдать, но как только стали звать собачку, чтобы взять её из клетки, лев ощетинился и зарычал.","Когда он хотел забрать собаку из клетки, лев очень разозлился.",,b2,1.7,8.1,a2_b1,Word level higher than target CEFR range
забрел,пришёл,2,1,E12,E13,a,0,2,VERB,VERB,забрести,прийти,"Опытному человеку сразу было видно, что юноша из хорошей семьи, на банк забрел впервые и всего здесь дичится. ","Опытные игроки сразу увидели в Фандорине молодого человека из хорошей семьи, который впервые пришёл играть, а он думал, что его никто не заметил",,,3.9,523.3,b1,No word level
бисквиты,печенье,2,1,E12,E13,a,0,2,NOUN,NOUN,бисквита,печенье,А Зина ест даже ночью – прячет под подушку бисквиты и шоколадки и потихоньку чавкает.,А Зина ест даже ночью: прячет под подушку печенье и тихо ест. ,,,,7.9,b1,No word level
покорилась,смирилась,2,2,E12,E13,a,1,2,VERB,VERB,покориться,смириться," - Если все кончено, то Иван Петрович, разумеется, прав, - сказала Нина Александровна, - не хмурься, пожалуста, и не раздражайся, Ганя, я ни о чем не стану расспрашивать, чего сам не хочешь сказать, и уверяю тебя, что вполне покорилась, сделай одолжение, не беспокойся.","— Если всё кончено, — сказала Нина Александровна, — не злись, пожалуйста, Ганя, я вполне смирилась.",,,2.2,13.9,b1,No word level
Варвара,Варя,0,2,E12,E13,a,0,2,PROPN,PROPN,варвара,Варя,"— воскликнул Митя. — Правда, замечательно, Варвара Андреевна?",— воскликнула Варя,,,,13,b1,No word level
портьеру,занавеску,2,2,E12,E13,a,1,2,NOUN,NOUN,портьера,занавеска,"Он приподнял портьеру, остановился и оборотился опять к князю: - Входи! ",Он приподнял занавеску. — Входи! ,,c1,3.8,15.7,b1,Word level higher than target CEFR
выразилась,сказала,2,2,E12,E13,a,1,2,VERB,VERB,выразиться,сказать," - Позвольте же, maman, и мне говорить; ведь я и сама в таком деле что - нибудь значу: решается чрезвычайная минута судьбы моей (Аглая именно так и выразилась), и я хочу узнать сама и, кроме того, рада, что при всех. Позвольте же спросить вас, князь, если вы питаете такие намерения , то чем же вы именно полагаете составить мое счастье?","— сказала Лизавета Прокофьевна. — Позвольте, мама, и мне говорить; ведь я и сама в такомделе что - нибудь значу: решается чрезвычайная минута судьбы моей, и я хочу узнать сама и при всех. ",,a1,20.1,2396.6,b1,Word level lower than target CEFR
излагать,сказать,2,2,E12,E13,a,1,2,VERB,VERB,излагать,сказать,"Как я говорил вам, есть в нем какая - то холодность к тем самым главным вопросам, которые должны трогать душу всякого человека и всякого ребенка, – начал излагать свои мысли Алексей Александрович по единственному, кроме службы, интересовавшему его вопросу, – воспитанию сына.","— Не могу сказать, чтобы я был доволен им, — сказал Алексей Александрович. — Есть в нём какая - то холодность к тем самым главным вопросам, которые должны интересовать каждого ребёнка. ",c1,a1,11,2396.6,b1,Word level lower than target CEFR
бесполезную,ненужную,2,0,E12,E13,a,0,2,ADJ,ADJ,бесполезный,ненужный,"Я хочу быть артисткой, я хочу славы, успехов, свободы, а вы хотите, чтобы я продолжала жить в этом городе, продолжала эту пустую, бесполезную жизнь, которая стала для меня невыносима. ","Я хочу быть артисткой, я хочу славы, успехов, свободы, а вы хотите, чтобы я продолжала жить в этом городе, продолжала эту ненужную жизнь, которую я ненавижу. ",b2,c1,18.4,22.6,b1,Word level higher than target CEFR
сожалеть,жалеть,2,1,E12,E13,a,0,2,VERB,VERB,сожалеть,жалеть,"Стало быть, убеждение мое, что для двух недель не стоит уже сожалеть или предаваться каким - нибудь ощущениям, одолело моею природой и может уже теперь приказывать всем моим чувствам. ","Поэтому убеждение моё, что двух недель не стоит уже жалеть.",c1,b2,8.5,51.4,b1,Word level higher than target CEFR
помехой,препятствием,2,2,E12,E13,a,1,2,NOUN,NOUN,помеха,препятствие,"Обманутый муж, представлявшийся до сих пор жалким существом, случайною и несколько комическою помехой его счастью, вдруг ею же самой был вызван, вознесен на внушающую подобострастие высоту, и этот муж явился на этой высоте не злым, не фальшивым, не смешным, но добрым, простым и величественным. ","Обманутый муж, которого он считал до сих пор жалким существом, препятствием его счастью, вдруг оказался добрым, простым и величественным. ",c1,b2,13,24.4,b1,Word level higher than target CEFR
безобразное,ужасное,2,2,E14,E10,a,1,2,ADJ,ADJ,безобразный,ужасный,"﻿В понедельник 13 мая 1876 года в третьем часу пополудни, в день по - весеннему свежий и по - летнему теплый, в Александровском саду, на глазах у многочисленных свидетелей, случилось безобразное, ни в какие рамки не укладывающееся происшествие.",В понедельник 13 мая 1876 года днём в Александровском саду случилось ужасное событие. ,b2,b1,6.9,47.9,b1,Word level equal to target CEFR
весть,новость,2,2,E14,E10,a,1,2,NOUN,NOUN,весть,новость,"Но графиня услышала весть, для неё новую, с большим равнодушием",Но графиня услышала эту новость с большим спокойствием,b1,a1,21.4,65.3,b1,Word level lower than target CEFR
прибегнуть,обратиться,2,2,E14,E10,a,1,2,VERB,VERB,прибегнуть,обратиться,Она решилась к нему прибегнуть. ,Она решила обратиться к нему за помощью. ,,,5.6,108.6,b1,No word level
Господи,Бог,2,2,E14,E10,a,1,2,PROPN,NOUN,Господь,бог,"Что же делать - то, Господи?","Бог мой, что же делать - то?» ",,a2,,425.4,b1,Word level lower than target CEFR
также,ещё,2,0,E14,E10,a,0,2,PART,ADV,также,еще,"А также и нас, румынских союзников. ",А ещё наши ждут своих союзников румын (они должны вот - вот подойти). ,a2,a1,569.9,2323.9,b1,Word level lower than target CEFR
возвестил,объявил,2,2,E14,E10,a,1,2,VERB,VERB,возвести,объявить,"Его превосходительство просят вас пожаловать к ее превосходительству, - возвестил лакей, появляясь в дверях. ","Его превосходительство просят васпожаловать к её превосходительству, — объявил слуга, появляясь в дверях.",,,13.1,99,b1,No word level
гуляние,праздник,1,2,E14,E10,a,0,2,NOUN,NOUN,гуляние,праздник,"Знала ведь, что на войну едешь, а не в Павловское на гуляние. ","«Знала ведь, что на войну приехала, а не на праздник», — говорила Варя себе. ",,a1,,115,b1,Word level lower than target CEFR
робкою,тихою,1,2,E14,E10,a,0,2,ADJ,ADJ,робкий,тихий," - И думается, - отвечал князь, попрежнему с тихою и даже робкою улыбкой смотря на Аглаю; но тотчас же рассмеялся опять и весело посмотрел на нее","— И думается, — отвечал князь, по - прежнему с тихою улыбкой; но тотчас же рассмеялся опять и весело посмотрел на Аглаю",b2,b1,12.1,107.3,b1,Word level equal to target CEFR
превосходным,прекрасным,2,2,E14,E10,a,1,2,ADJ,ADJ,превосходный,прекрасный,"Но Степан Аркадьич, хотя и привыкший к другим обедам, всё находил превосходным; и травник, и хлеб, и масло, и особенно полоток, и грибки, и крапивные щи, и курица под белым соусом, и белое крымское вино — всё было превосходно и чудесно","Степан Аркадьич, хотя и привыкший к другим обедам, всё находил прекрасным",b2,a2,10.7,148.4,b1,Word level lower than target CEFR
непременная,обязательная,1,2,E14,E10,a,0,2,ADJ,ADJ,непременный,обязательный,"Своих мыслей об этом я от тебя никогда не скрывал и всегда говорил, что за тобою ей непременная гибель. ","Я всегда говорил, что за тобою ей обязательная ги Mбель. ",c1,c1,8.8,65.4,b1,Word level higher than target CEFR
словоохотливость,разговорчивость,2,2,E14,E10,a,1,2,NOUN,NOUN,словоохотливость,разговорчивость,"Она не понимала и того, что эта нынешняя особенная словоохотливость Алексея Александровича, так раздражавшая ее, была только выражением его внутренней тревоги и беспокойства. ","Она не понимала того, что эта сегодняшняя разговорчивость Алексея Александровича, так неприятная ей, была только выражением его внутренней тревоги и беспокойства. ",,,,0.5,b1,No word level
